Ref,Location,Series,Rock Type,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Rb,Sr,Ba,Cs,Sc,V,Cr,Co,Ni,Cu,Zn,Y,Zr,Nb,Hf,Ta,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Pb,Th,U,Ga
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,44.8,1.22,7.38,6.4,0.11,12.19,11.9,1.73,4.74,1.65,64,1177,2510,22.6,18.3,69.2,466.2,,548.7,,,30.3,647.3,48.9,18.19,2.72,116.03,256.87,35.64,162.9,31.7,5.43,16.19,,7.39,,2.63,,2.1,0.3,188,135.7,15.09,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,46.2,1.23,7.32,6.65,0.12,16.66,7.77,1.06,4.91,2.1,228,1593,4334,11.3,21.4,97.8,668.3,,675.5,,,36.9,708.3,66.8,19.11,3.95,143.49,361.06,48.85,213.73,38.53,6.33,20.78,,9.14,,3.21,,2.5,0.34,126.22,159.7,34.46,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,56.9,1.88,9.27,5.69,0.06,11.2,2.72,1.75,8.75,0.88,232,816,,,,,,,,,,,,,,,,237,,148.1,28,,,,,,,,,,67,105,15.4,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,50.54,1.34,8.9,6.43,0.09,15.37,4.68,0.81,6.8,1.63,344,1086,3120,,,91,621,43,689,,70,34,710,52,19.6,3.2,100.4,254.2,,168.4,30.8,5.2,17.6,1.8,7.4,,2.6,0.4,2.4,0.3,237.7,115,26.1,17
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,48.58,1.26,8.21,6.34,0.1,14.1,7.36,1.18,6.6,1.57,172,1109,2773,200,16.7,81,744.3,,568.1,,,30.3,648.9,47,18.11,3.15,99.46,241.4,33.96,151.08,28.57,4.66,15.77,,7.28,,2.71,,2.2,0.3,,118.83,29.18,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,48.14,1.24,8.37,5.97,0.12,13.31,9.14,0.54,6.78,1.55,328,1523,3773,7.2,18,235.7,786,,688.8,,,30.8,630.4,48.3,17.24,3.11,117.52,290.51,39.48,172.56,31.65,5.23,16.52,,7.52,,2.66,,2.12,0.3,,109.95,119.34,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,46.42,1.24,7.37,6.58,0.11,16.46,8.07,1.41,4.61,1.98,115,1571,3305,63.8,19.6,93.2,777.1,,663.5,,,37,721.2,62.2,19.75,3.91,143.32,351.54,47.92,211.16,38.78,6.39,20.97,,9.02,,3.2,,2.53,0.35,,155.95,31.78,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,46.99,1.25,7.88,6.45,0.12,14.04,8.43,2.03,4.43,1.49,157,1185,3217,141.6,18.1,98.2,778.9,,657.4,,,31.1,646.5,56.1,17.78,3.38,116.12,298.41,40.48,178.53,32.95,5.44,17.12,,7.69,,2.72,,2.18,0.31,,126.56,28.03,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,,,,,,,,,,,,,170,,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,53.87,1.6,10.55,6.51,0.11,12.88,6.65,0.99,5.76,1.73,253,1375,3216,49.6,,108,1170,22,340,,98,26,628,36,20.6,2.6,100.9,263.4,37.3,163.1,31.1,5,17.9,1.9,7.4,,2.7,0.3,2.1,0.3,115.9,114.4,15.3,14
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,56.65,1.71,9.63,5.35,0.07,12.72,2.71,0.43,10.13,1.12,785,549,1865,48.8,,91,1225,6,102,,85,19,814,38,24.7,2.8,90.6,258.2,38,168.2,32,4.9,16.9,1.6,5.9,,2.1,0.2,1.6,0.2,67.4,110.2,27.5,19
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,59.5,1.47,11.9,5.55,0.07,8.59,2.26,1.23,8.28,0.56,266,584,,,,,,,,,,,,,,,,,,161.3,30.7,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,53.99,1.61,9.02,5.68,0.08,12.66,3.14,0.38,8.9,1.13,494,688,1163,18.6,14.2,71.4,567,,472.3,,,21.9,638.2,38.9,17.41,2.09,90.69,235.5,31.91,146.33,27.72,4.44,12.75,,5.34,,1.95,,1.65,0.21,,92.9,11.32,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,54.3,1.64,9.12,5.71,0.08,12.26,3.19,0.44,8.86,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,55.03,1.66,9.16,5.32,0.07,11.86,2.74,0.39,9.48,1.07,769,528,1868,39.8,16.4,94.3,647.4,,590.2,,,24,902.3,54.6,25.63,3.76,90.74,268.12,37.32,170.3,31.47,4.77,15.9,,6.34,,2.11,,1.65,0.24,65,112.66,28.27,
Lustrino et al. 2016 JVGR,Spain (Betics),Orogenic,Lamproite,56.9,1.57,9.43,5.46,0.08,12.33,3.49,0.8,9.31,1.16,676,864,1694,20.1,,77,1039,7,151,,83,23,768,41,23.8,3,109.2,293.1,42.4,185.8,34.5,5.3,18.1,1.8,6.7,,2.6,0.3,2,0.3,117.2,128.1,24,16
