,Correct Anorogenic Median,Correct Anorogenic Q1,Correct Anorogenic Q3,"USA (Leucite Hills, Wyoming) | P(Orogenic)=0.505","USA (Leucite Hills, Wyoming) | P(Orogenic)=0.823",Russia | P(Orogenic)=0.677,Correct Orogenic Median,Correct Orogenic Q1,Correct Orogenic Q3
K,78195,42294,86081,88821,88157,68898,54538,45739,69064
Ti,33447,22253,38556,15105,12827,9710,8212,6833,9471
Sr,1369,1121,1604,1815,1707,3464,835,630,1324
P,5324,3949,6524,5760,5586,9295,4713,3273,5673
Rb,300,238,376,288,243,181,360,236,536
Nb,132,109,167,49,48,64,34,26,42
Ba,8428,4243,11764,5376,4104,7130,1975,1484,2813
Zr,1184,1062,1458,1622,1462,647,526,360,749
Ce,466,350,752,270,317,242,207,122,259
Th,25,21,31,16,18,13,52,26,119
Y,23,17,27,12,14,35,25,22,29
La,327,227,438,129,155,129,87,54,115
