Seed,Accuracy,Balanced Accuracy,ROC AUC
0,0.973,0.962,0.997
1,0.973,0.962,0.998
2,0.973,0.962,0.998
3,0.973,0.962,0.998
4,0.973,0.962,0.998
5,0.973,0.962,0.997
6,0.973,0.962,0.998
7,0.973,0.962,0.998
8,0.973,0.962,0.996
9,0.973,0.962,0.997
10,0.973,0.962,0.999
11,0.973,0.962,0.998
12,0.982,0.974,0.998
13,0.973,0.962,0.997
14,0.973,0.962,0.997
15,0.973,0.962,0.998
16,0.973,0.962,0.998
17,0.973,0.962,0.996
18,0.982,0.974,0.999
19,0.973,0.962,0.998
20,0.973,0.962,0.998
21,0.973,0.962,0.998
22,0.973,0.962,0.998
23,0.973,0.962,0.997
24,0.973,0.962,0.998
25,0.973,0.962,0.997
26,0.973,0.962,0.998
27,0.973,0.962,0.997
28,0.973,0.962,0.998
29,0.973,0.962,0.998
30,0.973,0.962,0.998
31,0.973,0.962,0.998
32,0.973,0.962,0.998
33,0.973,0.962,0.998
34,0.973,0.962,0.997
35,0.973,0.962,0.996
36,0.973,0.962,0.999
37,0.973,0.962,0.998
38,0.973,0.962,0.998
39,0.973,0.962,0.998
40,0.973,0.962,0.999
41,0.973,0.962,0.998
42,0.973,0.962,0.998
43,0.973,0.962,0.998
44,0.973,0.962,0.998
45,0.973,0.962,0.998
46,0.982,0.974,0.998
47,0.973,0.962,0.998
48,0.973,0.962,0.998
49,0.973,0.962,0.998
50,0.973,0.962,0.997
51,0.973,0.962,0.998
52,0.973,0.962,0.998
53,0.973,0.962,0.998
54,0.973,0.962,0.998
55,0.973,0.962,0.998
56,0.973,0.962,0.997
57,0.973,0.962,0.998
58,0.973,0.962,0.998
59,0.973,0.962,0.997
60,0.973,0.962,0.997
61,0.973,0.962,0.996
62,0.973,0.962,0.997
63,0.973,0.962,0.996
64,0.973,0.962,0.997
65,0.973,0.962,0.996
66,0.973,0.962,0.998
67,0.973,0.962,0.998
68,0.973,0.962,0.998
69,0.973,0.962,0.998
70,0.973,0.962,0.997
71,0.973,0.962,0.999
72,0.973,0.962,0.997
73,0.973,0.962,0.996
74,0.973,0.962,0.998
75,0.973,0.962,0.997
76,0.973,0.962,0.997
77,0.973,0.962,0.999
78,0.973,0.962,0.997
79,0.973,0.962,0.998
80,0.973,0.962,0.998
81,0.973,0.962,0.998
82,0.973,0.962,0.997
83,0.973,0.962,0.998
84,0.973,0.962,0.998
85,0.973,0.962,0.998
86,0.973,0.962,0.998
87,0.973,0.962,0.998
88,0.973,0.962,0.998
89,0.973,0.962,0.997
90,0.973,0.962,0.998
91,0.973,0.962,0.996
92,0.973,0.962,0.996
93,0.973,0.962,0.998
94,0.973,0.962,0.997
95,0.973,0.962,0.998
96,0.973,0.962,0.998
97,0.973,0.962,0.998
98,0.973,0.962,0.998
99,0.973,0.962,0.997
