Series,Location,Rock Type,K,Ti,Sr,P,Rb,Nb,Ba,Zr,Ce,Th,Y,La
Orogenic,Spain (Betics),Lamproite,39346.74,7312.68,1177.0,7200.6,64.0,48.9,2510.0,647.3,256.87,135.7,30.3,116.03
Orogenic,Spain (Betics),Lamproite,40757.91,7372.62,1593.0,9164.4,228.0,66.8,4334.0,708.3,361.06,159.7,36.9,143.49
Orogenic,Spain (Betics),Lamproite,56446.8,8031.96,1086.0,7113.32,344.0,52.0,3120.0,710.0,254.2,115.0,34.0,100.4
Orogenic,Spain (Betics),Lamproite,54786.6,7552.44,1109.0,6851.48,172.0,47.0,2773.0,648.9,241.4,118.83,30.3,99.46
Orogenic,Spain (Betics),Lamproite,56280.78,7432.56,1523.0,6764.2,328.0,48.3,3773.0,630.4,290.51,109.95,30.8,117.52
Orogenic,Spain (Betics),Lamproite,38267.61,7432.56,1571.0,8640.72,115.0,62.2,3305.0,721.2,351.54,155.95,37.0,143.32
Orogenic,Spain (Betics),Lamproite,36773.43,7492.5,1185.0,6502.36,157.0,56.1,3217.0,646.5,298.41,126.56,31.1,116.12
Orogenic,Spain (Betics),Lamproite,47813.76,9590.4,1375.0,7549.72,253.0,36.0,3216.0,628.0,263.4,114.4,26.0,100.9
Orogenic,Spain (Betics),Lamproite,84089.13,10249.74,549.0,4887.68,785.0,38.0,1865.0,814.0,258.2,110.2,19.0,90.6
Orogenic,Spain (Betics),Lamproite,73878.9,9650.34,688.0,4931.32,494.0,38.9,1163.0,638.2,235.5,92.9,21.9,90.69
Orogenic,Spain (Betics),Lamproite,78693.48,9950.04,528.0,4669.48,769.0,54.6,1868.0,902.3,268.12,112.66,24.0,90.74
Orogenic,Spain (Betics),Lamproite,77282.31,9410.58,864.0,5062.24,676.0,41.0,1694.0,768.0,293.1,128.1,23.0,109.2
Orogenic,Spain (Betics),Lamproite,72052.68,9470.52,833.0,5018.6,510.0,52.0,2570.0,884.0,292.4,126.0,30.0,111.4
Orogenic,Spain (Betics),Lamproite,53873.49,9230.76,662.0,4538.56,1135.0,42.0,1721.0,857.0,297.0,125.0,47.0,108.0
Orogenic,Spain (Betics),Lamproite,78444.45,9590.4,703.0,4713.12,568.0,41.0,1797.0,859.0,302.0,128.0,33.0,109.0
Orogenic,Spain (Betics),Lamproite,72965.79,9290.7,744.0,4713.12,617.0,45.0,2076.0,897.0,300.0,125.0,34.0,105.0
Orogenic,Spain (Betics),Lamproite,76950.27,9410.58,738.0,4844.04,671.0,46.0,1767.0,899.0,300.0,128.0,31.0,106.0
Orogenic,Spain (Betics),Lamproite,75954.15,9350.64,753.0,4887.68,670.0,43.0,1560.0,883.0,310.0,132.0,34.0,112.0
Orogenic,Spain (Betics),Lamproite,76369.2,9470.52,770.0,5149.52,557.0,45.0,1772.0,887.0,311.0,133.0,32.0,107.0
Orogenic,Spain (Betics),Lamproite,75705.12,9050.94,868.0,5673.2,538.0,44.0,2831.0,823.0,319.0,141.0,30.0,116.0
Orogenic,Spain (Betics),Lamproite,74127.93,8931.06,816.0,5411.36,556.0,45.0,1855.0,838.0,307.0,133.0,33.0,109.0
Orogenic,Spain (Betics),Lamproite,74210.94,9050.94,918.0,5280.44,623.0,51.5,1551.0,738.7,320.35,117.61,28.6,114.75
Orogenic,Spain (Betics),Lamproite,75290.07,9350.64,811.0,5018.6,763.0,54.9,1751.0,811.8,312.61,124.19,28.2,110.34
Orogenic,Spain (Betics),Lamproite,74459.97,9230.76,802.0,4669.48,658.0,49.4,1886.0,760.4,298.35,111.41,25.9,103.96
Orogenic,Spain (Betics),Lamproite,74792.01,9230.76,785.0,4669.48,590.0,48.0,1719.0,783.7,280.01,118.68,27.8,108.07
Orogenic,Spain (Betics),Lamproite,59684.19,9290.7,678.0,4233.08,1118.0,46.2,1697.0,725.4,291.34,98.84,24.6,98.35
Orogenic,Spain (Betics),Lamproite,68483.25,8871.12,506.0,4102.16,698.0,34.0,1843.0,647.0,192.3,81.1,23.0,72.2
Orogenic,Spain (Betics),Lamproite,49889.01,9170.82,483.0,4669.48,540.0,31.0,1527.0,695.0,212.0,108.9,22.0,75.1
Orogenic,Spain (Betics),Lamproite,49556.97,8391.6,603.0,4276.72,375.0,41.2,1355.0,651.7,201.35,96.96,24.3,68.97
Orogenic,Spain (Betics),Lamproite,68068.2,8451.54,558.0,3927.6,736.0,44.6,1917.0,627.0,209.04,77.15,26.3,73.09
Orogenic,Spain (Betics),Lamproite,61012.35,8151.84,527.0,3753.04,657.0,40.0,1547.0,625.7,175.32,79.74,25.4,64.71
Orogenic,Spain (Betics),Lamproite,61344.39,8271.72,537.0,3796.68,676.0,41.7,1497.0,653.5,181.27,85.41,27.1,66.84
Orogenic,Spain (Betics),Lamproite,57193.89,7912.08,482.0,3622.12,596.0,42.3,1395.0,620.6,207.95,83.64,26.9,73.39
Orogenic,Spain (Betics),Lamproite,51798.24,4075.92,333.0,2225.64,577.0,34.0,1197.0,301.9,119.99,44.17,17.4,42.84
Orogenic,Spain (Betics),Lamproite,53292.42,7972.02,498.0,3753.04,633.0,39.6,1458.0,596.2,199.25,80.89,25.9,70.35
Orogenic,Spain (Betics),Lamproite,49058.91,8151.84,454.0,3709.4,636.0,37.7,1372.0,694.4,184.63,88.97,25.8,72.68
Orogenic,Spain (Betics),Lamproite,70807.53,8871.12,438.0,4407.64,519.0,36.6,1315.0,688.0,191.54,98.0,23.8,72.95
Orogenic,Spain (Betics),Lamproite,62921.58,5094.9,523.0,3927.6,388.0,17.0,1966.0,356.0,143.1,68.4,18.0,59.4
Orogenic,Spain (Betics),Lamproite,39927.81,4855.14,446.0,3840.32,291.0,24.0,1889.0,315.0,146.0,64.0,24.0,59.2
Orogenic,Spain (Betics),Lamproite,46568.61,5274.72,478.0,4102.16,344.0,28.0,1931.0,373.0,152.0,68.0,27.0,60.2
Orogenic,Spain (Betics),Lamproite,33204.0,9170.82,443.0,3447.56,535.0,34.0,1516.0,575.0,250.0,90.3,19.0,93.6
Orogenic,Spain (Betics),Lamproite,49972.02,4675.32,567.0,3447.56,271.0,22.0,1969.0,265.0,244.7,90.0,22.0,118.0
Orogenic,Spain (Betics),Lamproite,23906.88,7612.38,451.0,3011.16,385.0,40.0,1434.0,671.0,243.1,85.5,23.0,94.8
Orogenic,Spain (Betics),Lamproite,27808.35,7972.02,402.0,3011.16,435.0,43.2,1377.0,638.1,243.77,83.08,20.4,85.95
Orogenic,Spain (Betics),Lamproite,28223.4,9530.46,617.0,3753.04,548.0,54.4,2095.0,798.9,332.37,114.3,24.3,121.75
Orogenic,Spain (Betics),Lamproite,39844.8,7792.2,433.0,2923.88,400.0,37.2,1296.0,570.3,235.96,76.92,19.9,87.23
Orogenic,Spain (Betics),Lamproite,57525.93,4375.62,324.0,2356.56,466.0,49.4,921.0,378.2,126.23,58.28,18.1,51.48
Orogenic,Spain (Betics),Lamproite,51383.19,3956.04,441.0,2225.64,480.0,33.3,2762.0,356.9,113.68,52.93,18.2,45.8
Orogenic,Spain (Betics),Lamproite,63585.66,6353.64,472.0,3142.08,578.0,48.0,1465.0,563.2,196.22,82.11,20.7,73.39
Orogenic,Spain (Betics),Lamproite,48809.88,5154.84,548.0,3840.32,451.0,26.0,1894.0,337.0,250.0,76.0,13.0,71.0
Orogenic,Spain (Betics),Lamproite,48726.87,5214.78,549.0,3883.96,448.0,25.0,1894.0,331.0,298.0,76.0,13.0,69.0
Orogenic,Spain (Betics),Lamproite,73878.9,10669.32,870.0,5149.52,697.0,49.0,2539.0,969.0,319.0,128.0,28.0,117.0
Orogenic,Spain (Betics),Lamproite,84670.2,10249.74,640.0,6240.52,852.0,47.0,1927.0,869.0,265.0,130.0,23.8,96.0
Orogenic,Spain (Betics),Lamproite,82179.9,9830.16,558.0,4887.68,737.0,41.0,1883.0,849.0,263.0,108.0,24.3,95.0
Orogenic,Spain (Betics),Lamproite,77199.3,10369.62,745.0,4713.12,432.0,48.0,2047.0,905.0,278.0,127.0,26.1,100.0
Orogenic,Spain (Betics),Lamproite,83010.0,10069.92,739.0,4189.44,866.0,53.0,1276.0,874.0,335.0,140.0,30.4,114.0
Orogenic,Spain (Betics),Lamproite,80519.7,9830.16,515.0,4058.52,726.0,47.0,1518.0,849.0,334.0,124.0,23.5,121.0
Orogenic,Spain (Betics),Lamproite,81349.8,10009.98,1675.0,6851.48,614.0,57.0,2669.0,907.0,294.0,138.0,24.7,113.0
Orogenic,Spain (Betics),Lamproite,74709.0,9290.7,1685.0,6633.28,643.0,59.0,2576.0,848.0,273.0,146.0,26.2,105.0
Orogenic,Spain (Betics),Lamproite,55616.7,10009.98,496.0,4494.92,360.0,50.0,1287.0,905.0,250.0,124.0,28.1,90.0
Orogenic,Spain (Betics),Lamproite,79689.6,9710.28,838.0,5018.6,614.0,66.0,3276.0,991.0,318.0,177.0,34.0,111.0
Orogenic,Spain (Betics),Lamproite,73048.8,8451.54,1391.0,5847.76,510.0,89.0,3892.0,1013.0,305.0,220.0,37.0,112.0
Orogenic,Spain (Betics),Lamproite,66408.0,10069.92,680.0,4931.32,300.0,48.0,2402.0,773.0,232.0,116.0,22.6,85.0
Orogenic,Spain (Betics),Lamproite,77199.3,11748.24,584.0,4233.08,480.0,48.0,1881.0,883.0,310.0,137.0,23.6,112.0
Orogenic,Spain (Betics),Lamproite,65743.92,8931.06,540.0,3971.24,667.0,41.0,1647.0,718.0,264.5,108.3,22.0,100.2
Orogenic,Spain (Betics),Lamproite,55450.68,6293.7,590.0,3840.32,360.0,29.0,2101.0,428.0,195.1,106.5,19.0,77.7
Orogenic,Spain (Betics),Lamproite,78195.42,10069.92,712.0,4844.04,651.0,35.0,1893.0,943.0,284.8,120.2,29.0,128.0
Orogenic,Spain (Betics),Lamproite,47481.72,4855.14,641.0,3316.64,355.0,30.0,1813.0,363.0,162.4,79.2,24.0,71.2
Orogenic,Spain (Betics),Lamproite,36690.42,3596.4,404.0,1745.6,236.0,16.0,1098.0,206.0,120.0,44.0,29.0,28.0
Orogenic,Spain (Betics),Lamproite,54869.61,6113.88,574.0,3665.76,402.0,35.1,2052.0,425.7,207.43,99.57,22.5,78.21
Orogenic,Spain (Betics),Lamproite,62423.52,9650.34,571.0,4931.32,404.0,55.4,1825.0,886.1,239.92,132.73,26.0,87.76
Orogenic,Spain (Betics),Lamproite,76950.27,8271.72,882.0,7026.04,409.0,56.0,2756.0,598.2,207.6,112.42,33.3,85.8
Orogenic,Spain (Betics),Lamproite,70724.52,8751.24,471.0,3273.0,660.0,56.9,1572.0,992.4,258.6,130.02,30.1,95.2
Orogenic,Spain (Betics),Lamproite,64664.79,9410.58,732.0,4756.76,456.0,63.5,4187.0,984.9,269.46,145.75,28.2,95.76
Orogenic,Italy (Tuscany) V.EOM,Lamproite,63751.68,8511.48,638.0,3054.8,591.0,40.0,1154.0,764.0,310.0,115.0,30.0,143.0
Orogenic,Italy (Tuscany) V.EOM,Lamproite,65079.84,8511.48,641.0,3011.16,597.0,40.0,1185.0,777.0,321.0,118.0,30.0,143.0
Orogenic,Italy (Tuscany) V.EOM,Lamproite,64913.82,8571.42,628.0,3011.16,536.0,41.0,1198.0,796.0,319.0,119.0,30.0,145.0
Orogenic,Italy (Tuscany) V.EOM,Lamproite,61593.42,8571.42,649.0,3273.0,445.0,40.0,1177.0,787.0,309.0,120.0,29.0,141.0
Orogenic,Italy (Tuscany) V.EOM,Lamproite,66906.06,9050.94,577.0,3709.4,612.0,39.0,1400.0,749.0,352.0,119.0,24.0,148.0
Orogenic,Italy (Tuscany) V.EOM,Lamproite,65992.95,8991.0,628.0,3447.56,583.0,42.0,1280.0,887.0,365.0,100.0,30.0,139.0
Orogenic,Italy (Tuscany) V.EOM,Lamproite,65743.92,8511.48,613.0,3011.16,609.0,41.0,1224.0,797.0,338.0,121.0,32.0,141.0
Orogenic,Italy (Tuscany) V.EOM,Lamproite,61676.43,8571.42,646.0,3054.8,449.0,41.0,1175.0,787.0,315.0,109.0,29.0,149.0
Orogenic,Italy (Tuscany) V.EOM,Lamproite,66906.06,9050.94,522.0,3709.4,651.0,36.0,1003.0,569.2,284.49,87.58,17.7,103.36
Orogenic,Italy (Tuscany) V.EOM,Lamproite,62340.51,8031.96,652.0,2836.6,680.0,50.3,1204.0,808.8,355.58,123.38,23.4,140.72
