Series,Location,Rock Type,K,Ti,Sr,P,Rb,Nb,Ba,Zr,Ce,Th,Y,La
Orogenic,Spain (Betics),Lamproite,4.594908755534699,3.864076569284374,3.0707764628434346,3.8573686861302106,1.806179973983887,1.6893088591236203,3.399673721481038,2.8111056070179306,2.4097133857172994,2.132579847659737,1.481442628502305,2.0645702922440257
Orogenic,Spain (Betics),Lamproite,4.610211905983583,3.867621850049024,3.2022157758011316,3.9621040366502234,2.357934847000454,1.8247764624755456,3.636888906983799,2.8502172417983895,2.5575793778161757,2.203304916138483,1.5670263661590604,2.1568216355916268
Orogenic,Spain (Betics),Lamproite,4.751639326566851,3.9048215369744335,3.035829825252828,3.852072346320262,2.53655844257153,1.7160033436347992,3.494154594018443,2.8512583487190755,2.4051755462179893,2.060697840353612,1.5314789170422551,2.0017337128090005
Orogenic,Spain (Betics),Lamproite,4.738674349402483,3.8780872837271887,3.04493154614916,3.835784394325538,2.2355284469075487,1.6720978579357175,3.4429498695778618,2.8121777741587537,2.3827372657613304,2.074926097123955,1.481442628502305,1.9976484548962061
Orogenic,Spain (Betics),Lamproite,4.750360107727678,3.871138423771861,3.1826999033360424,3.8302164400865957,2.515873843711679,1.6839471307515121,3.5766868052009957,2.7996162044814987,2.463161086365149,2.041195233696809,1.4885507165004443,2.0701117827822
Orogenic,Spain (Betics),Lamproite,4.582831339250262,3.871138423771861,3.1961761850399735,3.936549932177835,2.060697840353612,1.7937903846908188,3.519171463821659,2.8580557180503643,2.5459747483911603,2.1929853790931624,1.568201724066995,2.156306799494073
Orogenic,Spain (Betics),Lamproite,4.565534140083684,3.8746267516176824,3.0737183503461227,3.8130710103285783,2.1958996524092336,1.7489628612561614,3.50745106090197,2.810568529216413,2.474813372661389,2.1022964661536014,1.4927603890268375,2.064907027159636
Orogenic,Spain (Betics),Lamproite,4.679552897283826,3.9818367212655508,3.1383026981662816,3.8779308450450998,2.403120521175818,1.5563025007672873,3.5073160400764136,2.797959643737196,2.420615770625765,2.0584260244570056,1.414973347970818,2.0038911662369103
Orogenic,Spain (Betics),Lamproite,4.924739859220895,4.01071284900178,2.739572344450092,3.689102764586486,2.8948696567452528,1.5797835966168101,3.2706788361447066,2.910624404889201,2.4119562379304016,2.042181594515766,1.2787536009528289,1.9571281976768131
Orogenic,Spain (Betics),Lamproite,4.8685204205055275,3.9845426146414757,2.837588438235511,3.692963185399724,2.693726948923647,1.5899496013257077,3.0655797147284485,2.8049567998574916,2.371990911464915,1.9680157139936418,1.3404441148401183,1.9575594018974796
Orogenic,Spain (Betics),Lamproite,4.89593875119868,3.997824826649681,2.722633922533812,3.669268519601514,2.885926339801431,1.7371926427047373,3.2713768718940743,2.95535095736766,2.4283292107216887,2.051769746899332,1.380211241711606,1.9577987749299979
Orogenic,Spain (Betics),Lamproite,4.888080094841957,3.9736163910188598,2.936513742478893,3.704342731143223,2.829946695941636,1.6127838567197355,3.228913405994688,2.885361220031512,2.4670158184384356,2.1075491297446862,1.3617278360175928,2.0382226383687185
